RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,JoinDate,Exited,ChurnDate
1,15634602,Brown,517,Spain,Male,81,9,141439.68659222935,1,1,1,181095.76786312848,2022-01-31,0,
2,15634603,Johnson,530,France,Male,22,46,52937.06435745668,2,1,0,191656.92623902415,2022-12-30,0,
3,15634604,Williams,478,Germany,Female,43,43,174589.2946152426,4,0,1,118075.69440986811,2021-05-10,0,
4,15634605,Williams,379,Spain,Male,18,33,146722.7514210721,4,1,1,46651.32102495711,2022-07-18,0,
5,15634606,Johnson,653,Germany,Male,18,4,138999.93909393743,3,1,1,140023.8808437399,2022-02-04,0,
6,15634607,Brown,460,France,Male,55,40,159776.99556324116,4,1,1,30741.25304750473,2021-12-31,0,
7,15634608,Brown,726,France,Male,58,17,93850.72865879613,1,0,0,105703.08396795855,2023-09-21,0,
8,15634609,Smith,702,France,Female,45,5,47994.12706122025,1,1,0,162076.00630074934,2021-11-10,0,
9,15634610,Williams,331,France,Female,22,10,201603.176308072,3,1,0,173885.4915592826,2023-06-27,0,
10,15634611,Williams,420,France,Female,38,45,96092.4430857884,3,0,0,73166.51002120343,2019-05-02,0,
11,15634612,Smith,814,Germany,Male,80,0,247234.0330368265,2,0,1,59948.919427794055,2020-04-11,0,
12,15634613,Johnson,684,France,Female,29,22,120250.54495695622,1,1,0,144104.43910219456,2022-05-23,1,2025-01-22
13,15634614,Williams,724,France,Male,23,3,122503.52638942211,1,0,0,44978.04049020196,2019-11-27,0,
14,15634615,Johnson,775,France,Male,46,6,169454.60997639174,3,1,0,198921.6354140701,2023-01-22,0,
15,15634616,Brown,466,France,Male,78,40,166684.29477848398,3,0,1,79789.80020022494,2019-03-29,1,2020-09-09
16,15634617,Jones,688,France,Female,52,48,45129.6872824124,1,0,0,154887.15859012332,2022-10-28,0,
17,15634618,Smith,632,Spain,Male,92,16,68077.57361476943,3,1,0,150603.46542359522,2022-01-28,0,
18,15634619,Williams,822,Spain,Female,69,10,57879.09928200133,4,1,0,75833.6077512133,2021-05-21,0,
19,15634620,Smith,770,Germany,Male,50,26,13351.279662718374,2,0,0,89515.56306063492,2023-08-15,0,
20,15634621,Brown,823,France,Female,42,11,5602.781713162336,4,1,0,171502.8248569474,2019-05-11,0,
21,15634622,Brown,352,Germany,Female,31,46,161247.87070791968,2,0,0,61031.62572456314,2023-08-13,1,2025-09-19
22,15634623,Brown,320,Germany,Female,70,33,124647.86301444411,3,1,0,30806.904784868875,2022-08-25,0,
23,15634624,Brown,318,France,Male,78,7,223648.9062466942,1,1,1,46507.565793686794,2021-02-08,0,
24,15634625,Jones,755,France,Female,30,22,75192.80227747091,4,1,0,143134.1576780441,2019-12-10,1,2020-04-29
25,15634626,Johnson,621,Spain,Female,32,25,196878.38471053436,4,0,1,62738.979243224414,2023-02-24,1,2026-06-09
26,15634627,Johnson,732,France,Male,72,33,25788.508475990984,3,1,1,122080.92134526173,2022-12-08,0,
27,15634628,Jones,358,Spain,Female,70,31,204110.41524375285,4,0,1,90838.60845812825,2021-03-16,0,
28,15634629,Johnson,450,Germany,Female,89,5,230291.3176232199,1,1,1,176278.53644373594,2020-01-21,1,2022-02-03
29,15634630,Brown,739,Germany,Female,64,0,156834.32091379244,2,1,1,107742.02992467348,2022-04-30,0,
30,15634631,Johnson,357,Spain,Male,62,49,183990.02978683135,4,1,1,45129.73031366528,2021-08-13,0,
31,15634632,Smith,592,Spain,Female,92,3,246948.69475521886,2,0,1,169910.22146254295,2019-10-04,1,2023-09-04
32,15634633,Johnson,481,France,Female,81,24,94546.76141745958,2,0,0,34879.78464543031,2022-03-30,0,
33,15634634,Smith,377,Spain,Female,32,7,7340.303319885277,1,0,1,169083.95302461667,2020-04-04,0,
34,15634635,Williams,404,Spain,Male,38,39,170650.76173250846,3,1,1,27469.21482017202,2022-08-30,0,
35,15634636,Smith,560,France,Female,53,45,3332.441768005845,1,0,1,20654.320442397224,2019-01-22,0,
36,15634637,Smith,522,Germany,Female,87,19,142077.81658455927,1,0,1,155996.27836832084,2019-09-10,0,
37,15634638,Brown,783,Spain,Male,42,13,149369.48329148485,2,1,1,120815.42089138359,2021-01-17,0,
38,15634639,Brown,428,France,Female,61,32,146125.1778634076,3,0,0,58702.93471160832,2021-05-06,0,
39,15634640,Brown,618,France,Female,18,2,41479.725592190545,1,1,0,193870.59355081714,2023-05-04,0,
40,15634641,Smith,808,Spain,Female,59,14,19169.020514978845,3,1,0,134662.2835680216,2020-04-19,0,
41,15634642,Jones,319,Germany,Male,76,26,226935.92183301636,1,1,0,62942.00165861487,2021-12-18,0,
42,15634643,Brown,534,France,Female,50,18,135400.3348789872,1,1,1,94878.00532803866,2020-05-25,0,
43,15634644,Brown,649,Spain,Male,49,0,80771.02083359571,2,1,0,184372.14868272943,2023-09-02,0,
44,15634645,Smith,752,Germany,Female,83,34,192936.3231936939,2,0,0,56612.04447600896,2023-02-08,0,
45,15634646,Williams,808,Spain,Female,42,32,230413.5699630879,2,0,0,186834.8201269284,2020-11-30,0,
46,15634647,Williams,722,France,Male,57,16,101054.07143626091,3,0,1,59021.03298373546,2021-09-02,0,
47,15634648,Johnson,489,France,Female,75,12,24576.303831168934,1,0,1,24234.37313074334,2023-12-12,1,2026-06-05
48,15634649,Williams,424,France,Female,92,47,173154.1606125199,4,1,0,68318.67841207111,2019-07-09,0,
49,15634650,Brown,305,Spain,Male,81,11,226881.9097962355,2,0,0,29831.640219210403,2021-08-15,0,
50,15634651,Jones,757,France,Male,36,38,245101.7663570841,3,0,0,61930.4324151214,2020-11-17,1,2024-09-18
51,15634652,Johnson,821,Spain,Male,45,25,203385.4733054463,3,1,1,68957.40109261379,2021-08-15,0,
52,15634653,Jones,388,Germany,Female,91,26,67054.17146451786,1,1,0,95002.69135620499,2020-07-16,0,
53,15634654,Jones,410,Germany,Male,97,23,89555.05956106551,4,1,1,70885.36787021533,2023-05-10,0,
54,15634655,Brown,696,Germany,Female,59,16,34184.92731813205,4,1,1,148112.991810983,2022-06-21,0,
55,15634656,Smith,310,Germany,Male,99,10,178186.3938333271,4,0,1,194749.96839652667,2021-04-11,1,2025-02-20
56,15634657,Smith,796,France,Male,67,21,42313.60053858513,4,1,0,28552.00947973643,2023-03-09,0,
57,15634658,Smith,315,France,Male,93,7,107991.52275751278,2,0,0,112346.81490353771,2022-02-28,0,
58,15634659,Williams,332,Spain,Female,65,41,132938.89899747225,4,0,1,67101.79275849904,2023-02-17,0,
59,15634660,Smith,788,Germany,Female,74,47,95633.17973512897,2,0,1,103292.91376813644,2020-10-08,0,
60,15634661,Brown,487,Germany,Female,26,31,37424.008901371235,4,0,1,146826.77660308412,2019-01-21,0,
61,15634662,Williams,757,Spain,Male,47,28,72455.11121519408,2,1,0,177824.14499838883,2021-04-20,0,
62,15634663,Smith,350,Spain,Female,35,41,158191.2586766774,2,0,0,179602.70843599938,2019-06-16,0,
63,15634664,Jones,570,Spain,Female,62,31,181705.91466834908,4,0,1,49366.84037513724,2022-07-21,0,
64,15634665,Brown,763,Spain,Male,95,39,153659.02855571787,3,1,1,121274.74154397238,2020-01-23,1,2023-02-05
65,15634666,Brown,342,Germany,Female,83,4,241438.00095190047,4,0,1,70921.73594558409,2020-08-23,1,2022-12-13
66,15634667,Johnson,838,France,Male,28,48,153407.56470181822,2,1,0,109607.91208656025,2019-11-12,0,
67,15634668,Brown,420,Germany,Male,89,12,56334.8834386391,2,1,1,185598.51549957108,2019-01-14,0,
68,15634669,Jones,615,Spain,Female,84,24,122763.22909861298,3,1,1,30919.81430381305,2019-08-30,0,
69,15634670,Brown,414,France,Male,32,41,209057.34409323128,1,1,1,126948.01562537973,2021-02-15,0,
70,15634671,Johnson,753,Germany,Female,57,9,81450.40617071331,1,1,1,84749.42640843432,2022-10-01,1,2026-07-01
71,15634672,Brown,819,Spain,Male,30,25,184257.69113777493,3,0,1,176258.8242398623,2020-07-18,0,
72,15634673,Brown,636,France,Female,97,25,196297.98255008817,3,0,0,59296.39589053544,2021-06-16,0,
73,15634674,Johnson,539,France,Female,50,20,233491.30579314317,4,0,1,79937.66306706888,2022-09-25,1,2025-06-14
74,15634675,Brown,685,Spain,Female,19,22,100293.84681890196,2,1,1,23656.167532373904,2019-04-02,0,
75,15634676,Williams,444,France,Male,51,43,64856.06044711184,1,0,0,97390.64821929377,2022-10-22,1,2026-03-13
76,15634677,Brown,676,Germany,Female,33,11,126987.0642049877,4,0,1,133981.0055638753,2021-08-13,1,2024-08-24
77,15634678,Smith,303,Germany,Male,31,38,248420.82687089278,1,1,0,55308.89176456747,2023-01-18,0,
78,15634679,Smith,627,Germany,Female,63,42,225532.49271652894,4,1,0,134421.60496473179,2022-12-22,0,
79,15634680,Williams,496,France,Female,67,24,70988.76592136627,2,0,1,154048.628877729,2020-05-23,1,2020-07-28
80,15634681,Brown,688,France,Male,22,11,49178.93387192834,4,0,1,54635.54653195947,2021-02-14,1,2025-12-26
81,15634682,Jones,560,Spain,Female,60,35,119239.48822362612,2,1,1,155948.82290933788,2019-02-04,0,
82,15634683,Brown,393,Spain,Female,35,31,41443.62802173116,4,0,0,187898.2392351565,2019-07-25,1,2022-06-01
83,15634684,Smith,556,France,Male,65,17,189507.82513608242,2,0,1,60046.33593037909,2022-01-09,0,
84,15634685,Johnson,435,Germany,Female,81,41,9153.150123455522,4,0,1,44299.748471065875,2023-05-05,0,
85,15634686,Williams,824,France,Female,43,19,56181.435909115644,4,0,1,80013.25669344144,2022-11-12,1,2026-06-27
86,15634687,Johnson,797,Germany,Male,91,1,4555.201901804224,2,1,0,54328.875774855966,2021-10-22,0,
87,15634688,Jones,477,Spain,Female,87,32,56684.56343603584,3,0,1,159544.3185376657,2021-10-18,1,2024-03-28
88,15634689,Brown,411,France,Female,31,45,13078.062827604126,3,1,0,43908.707606487194,2022-11-14,0,
89,15634690,Jones,563,France,Male,83,16,168388.0807561552,4,1,0,24056.060210951597,2020-07-19,0,
90,15634691,Johnson,713,France,Male,78,35,142568.45665874126,2,1,1,83325.70092318882,2022-02-03,0,
91,15634692,Brown,668,Germany,Female,90,29,53478.46941809456,1,0,0,161251.12471813385,2023-12-01,0,
92,15634693,Jones,677,Spain,Male,94,8,51269.295925863546,1,0,1,137233.58109288622,2023-02-09,0,
93,15634694,Smith,682,Germany,Female,38,30,72798.37704661893,1,0,0,115496.36799489503,2020-12-03,0,
94,15634695,Smith,810,Spain,Male,72,38,199553.2300237847,1,1,1,102430.54286415757,2020-02-06,0,
95,15634696,Williams,676,Germany,Female,19,20,37625.817043213414,1,0,1,136904.79368100158,2020-12-30,0,
96,15634697,Smith,844,Spain,Male,20,21,30425.204105467452,2,1,1,108592.81174650334,2023-04-29,0,
97,15634698,Smith,372,Germany,Female,30,16,127012.58372353508,4,0,0,159474.73987296276,2019-06-11,1,2021-07-11
98,15634699,Johnson,803,France,Female,38,2,216237.533472436,1,1,0,175959.669539742,2019-07-21,0,
99,15634700,Smith,651,Germany,Female,50,31,56027.751102939226,3,1,0,51252.106414595415,2021-09-22,0,
100,15634701,Smith,624,France,Male,37,32,26564.072895138263,3,1,1,61752.69660454587,2019-09-27,0,
101,15634702,Johnson,687,France,Male,35,9,122922.14054133272,1,1,0,112458.52394735068,2021-03-26,0,
102,15634703,Smith,539,France,Female,55,4,183038.7204829167,3,0,0,175841.27921981472,2022-07-18,0,
103,15634704,Smith,373,Germany,Male,42,3,154580.58453504517,2,1,1,185313.68196815473,2020-03-31,0,
104,15634705,Williams,330,France,Male,55,37,104541.41635976874,1,1,1,42648.267766547106,2023-01-25,0,
105,15634706,Smith,778,Germany,Male,32,31,10099.513950041634,4,0,1,74564.42644911856,2023-10-17,0,
106,15634707,Smith,313,Spain,Male,98,37,75148.32226604449,2,1,1,158530.44152209294,2022-06-29,1,2026-10-07
107,15634708,Williams,615,Germany,Male,46,40,229812.85583529537,3,0,1,188060.5491071149,2021-10-13,0,
108,15634709,Johnson,367,Germany,Male,81,19,55715.615211312324,1,0,0,34613.75138600652,2023-09-22,0,
109,15634710,Smith,837,Germany,Female,49,8,153488.660921374,2,0,1,104512.34926608935,2019-10-23,0,
110,15634711,Jones,590,Spain,Female,89,14,226860.68397282742,2,0,1,109224.07561861534,2023-10-15,0,
111,15634712,Johnson,323,Spain,Male,60,7,122027.3677972138,2,0,0,21545.7992692197,2020-12-20,0,
112,15634713,Johnson,714,Spain,Male,30,33,111569.71656510365,2,0,1,173779.9917837547,2023-11-08,0,
113,15634714,Smith,335,France,Male,98,29,35265.98743847983,2,0,1,39330.76183866023,2019-12-04,0,
114,15634715,Williams,400,Germany,Female,95,9,245152.90975992027,3,1,0,170748.64732529354,2021-05-28,0,
115,15634716,Johnson,845,Germany,Female,42,13,44167.402497921394,1,1,1,23774.80467320973,2021-12-12,0,
116,15634717,Williams,338,France,Male,66,33,120364.43921586986,2,0,0,196945.5321117655,2021-03-02,0,
117,15634718,Jones,510,France,Female,25,21,42832.35248566316,2,1,0,114487.0042045314,2019-08-05,0,
118,15634719,Williams,471,Germany,Female,45,12,87095.87146215494,3,0,1,73788.05868770994,2021-02-02,0,
119,15634720,Brown,741,France,Female,28,28,221002.20366052486,4,0,0,129131.26673308184,2019-07-07,0,
120,15634721,Williams,358,France,Female,72,28,160830.17942420437,1,1,1,71082.39193052745,2020-01-15,0,
121,15634722,Johnson,709,Spain,Female,27,6,2461.0620600059306,1,0,1,39391.06346163606,2020-05-07,0,
